publishDate,網址,附議數量,content,權責機關,協辦單位,協辦單位2
2015-09-10 13:26:19,https://join.gov.tw/idea/detail/25824c17-f141-447a-82f9-ea9f4b6b69d4,22,"Join 平台應提供匯出資料供批次下載
目前 Join 平台為方便機關人員作業，在後台有「打包匯出資料」的功能，但前台沒有開放給民眾使用。
為落實資訊對等原則，並開放民間進行獨立分析作業，建議提供每日「提點子」「眾開講」「來監督」的匯出資料，供批次下載。
這是 kiang 在 g0v 提出的想法。
利益：提供民間備份，並可介接第三方進行全文檢索，例如 SayIt 系統。
影響：國發會需釐清留言、提議文字之公開、通用授權，例如 CC BY 等。",國家發展委員會,,
2015-09-10 20:45:11,https://join.gov.tw/idea/detail/94b5dca9-57fc-4697-a826-5aad97f64db1,2,都更的建議國家既然採多數決.為何總是被少數人綁架.都更常因釘子戶造成困擾.個人建議.國家要發展.這個問題一定要解決.但要避免多數暴力的問題.所以各樓層同意要有一定的百分比.照多數決的規則走.還有都更法必須設立為特別法.免去違憲的問題,內政部,,
2015-09-10 21:40:32,https://join.gov.tw/idea/detail/3bdab9bf-d874-4ede-a299-086609993a19,184,引進鞭刑依先進國家如新加坡的刑法引進鞭刑讓重刑犯，強姦犯等重大罪犯得到應得的逞罰促進社會正義，讓正義得以伸張並幫助這些罪犯記取教訓以及促進受害者人權，進而讓國家進步,法務部,,
2015-09-11 00:46:34,https://join.gov.tw/idea/detail/41d9ffb1-21f3-43ef-b33e-0cac0a387c14,10,"提高機車駕照取照標準並予以分類凡國民在年滿16歲後,可以申請並考取""電動機車""駕照.
在連續駛用""電動機車""超過5年,並且沒有重大違規 (或是考慮以違規記點方式衡量駕駛人能力)
才允許申請考取一般""輕型機車""駕照; 
若有重大違規情事,則不予許考取""輕型機車""駕照.
需經過另外五年連續駛用無違規情事才可再次申請考取""輕型機車""駕照; 
 
在連續駛用""輕型機車""超過5年,並且沒有重大違規 (或是考慮以違規記點方式衡量駕駛人能力)
才允許申請考取一般""重型機車""駕照;
若有重大違規情事,則不予許考取""重型機車""駕照.
需經過另外五年連續駛用無違規情事才可再次申請考取""重型機車""駕照; 
 
國民在年滿60歲後,只得駛用""電動機車""
 
考量""電動機車""成本,政府應予以補助鼓勵.並廣設""低價""電池交換站點.
另考慮弱勢團體以及以機車維生的特定人士, 應另設立特定機車類別以供使用.
 
 
 1. 參考交通安全入口網專題文章 (內容較舊,但仍具有參考價值)
    台灣地區每年交通事故中,騎乘機車發生事故死傷佔有相當大比例. 其中又以青少年(18-30歲)族群佔有大部分.
    藉由以上規則的修改可以讓目標族群在心智與意志成熟前改為駛用""電動機車"".
    利用""電動機車""速度上限較慢,馬力較小的特性, 降低青少年肇事機率.
2. 另一肇事族群為年長族群的機車使用者, 亦可藉由此方案降低事故機率.
3. 根據交通部統計查詢網資料, 截至104年7月,台灣地區掛牌使用的機車有一千三百萬台.
    對台灣地區空氣品質造成相當巨大影響.
    推行此案可以將一般機車數量大量減少, 改為使用低汙染的""電動機車""
    一來可以降低空氣汙染, 二來可以減少國民呼吸道疾病發生率,降低社會成本
    並且減少的社會成本可以用以回饋降低""電動機車""的購買成本.
4. 經由此方案的推行,可以促進並扶植台灣""電動機車""產業的發展. 創造建立外銷相關產品實力.",交通部,經濟部,環境部
2015-09-12 02:23:57,https://join.gov.tw/idea/detail/87354c05-f36e-4d83-972d-1c92def95df1,52,"敬請具體實踐中華民國憲法第143條：中華民國領土內之土地屬於國民全體。中華民國公有土地，兩則相關條文內容如下：

中華民國憲法第143條：中華民國領土內之土地屬於國民全體。人民依法取得之土地所有權，應受法律之保障與限制。私有土地應照價納稅，政府並得照價收買。附著於土地之礦，及經濟上可供公眾利用之天然力，屬於國家所有，不因人民取得土地所有權而受影響。土地價值非因施以勞力資本而增加者，應由國家徵收土地增值稅，歸人民共享之。國家對於土地之分配與整理，應以扶植自耕農及自行使用土地人為原則，並規定其適當經營之面積。
土地法第4條：本法所稱公有土地，為國有土地、直轄市有土地、縣（市）有土地或鄉（ 鎮、市）有之土地。

中華民國憲法第143條與土地法第4條的條文對於公有土地的看法有所差異。中華民國憲法第143條明確指出中華民國領土內之土地屬於國民全體，私有土地保障人民所有權，餘下的公有土地屬於國民全體。而反觀公有土地在土地法第4條中卻被窄化解釋為「政府機關所有」，而非承續中華民國憲法第143條精神，建構完善的行政程序具體體現「國民全體所有」。
 
本案提議列點如下：

公有土地以開放資料方式，提供給「國民全體」。若機關認為有困難、需要開放何種欄位需求等，請說明理由並持續與民間社群溝通。
敬請說明，公有資產的所有權人為「中華民國」，而究竟「管理機關」或是「國民全體」，哪一方代表所有權人？
若中華民國政府認為中華民國憲法並未允諾「國民全體」參與公有土地的處分過程，敬請提供理由。
若中華民國政府認為中華民國憲法的確允諾「國民全體」參與公有土地的處分過程，敬請暫緩「行政院國有資產活化清理小組」的運作，並組成「國民全體參與公有土地之行政制度革新小組」，邀請多元社會代表、原住民族代表、開放資料社群...等，舉辦公開之例行工作會議，逐實推動國民全體參與公有土地決策機制，深化中華民國的民主決策制度。

 
相關連結：
 

簡報說明：http://www.slideshare.net/MikLiu/ss-52681454
台北市公有空地地圖：http://taipei-pop.herokuapp.com
建構「國民全體參與公有土地決策機制」之利益影響列舉如下：
 

具體落實中華民國憲法第143條：「中華民國領土內之土地屬於國民全體。」條文內涵。
由此開啟公有土地行政程序的革新，促進公有土地能夠貼近國民所需之公共需求，以及採納公有土地的多元專業觀點，例如城鄉減災與宜居規劃、原住民族自治區之建立等。
減少目前僅由政府機關的窄化處理模式，所導致的公有土地流失與未達公共利益之開發行為，例如「蚊子館」低度利用的公共資產、不受公民監督之促參行政過程、公有土地以參與都市更新為原則之現況等。
",內政部,財政部,
2015-09-12 11:34:27,https://join.gov.tw/idea/detail/6edc4637-46f2-461b-b43a-7763deb49fd9,5,"請開放800萬門牌位置資料全國門牌地址定位服務( http://tgos.nat.gov.tw/tgos/Web/Address/TGOS_Address.aspx ) 網站提到
""內政部於民國87年起陸續補助各縣市政府分年分期建置該縣市之門牌位置資料庫暨查詢系統，業於民國98年將全台灣25縣市門牌位置資料全數建置完 成，總計 約800萬門牌位置資料。由於台灣鄉區之聚落排列與早期門牌編釘之原則並無規則性，因此各縣市門牌位置資料庫乃採用每戶建立一點之方式建置，以提高資料之 使用精度，此資料庫可作為民政、警政、工務及消防等業務的關鍵資訊，並提供都市計劃、稅捐等單位進行業務使用。 爰此，內政部於民國98年為豐富及強化各縣市門牌位置資料庫之應用，進一步規劃利用服務導向架構（Services Oriented Architecture, SOA），建置「全國門牌地址定位服務」，提供各界使用。""
希望可以將資料庫直接匯出後成為開放資料，並且透過系統持續發布更新
最簡單的格式就是 一個住址對應到一個 WGS84 座標，進一步的如果能夠就是加入新舊住址的對應表、異動日期等等政府單位資訊系統礙於資源有限問題，相關系統的使用限制繁多，造成應用不易。
民間資訊系統雖然應用豐富，但缺乏高品質的資料作為基礎
截長補短的結果就是政府單位將維護的資料以原始格式釋出，讓民間能夠擴大應用",內政部,,
2015-09-13 08:55:47,https://join.gov.tw/idea/detail/b5ea45ea-5c19-4161-a494-86146846c113,0,"徹底改造國軍制度，避免軍中冤案及違法舞弊情事發生 
軍中自發生陸軍542旅下士洪仲丘虐死案後，引發全國民怨，立法院雖將軍事審判法移由司法機關審理，但並不代表日後軍中就一切太平，就不會有不法或不平之事發生。為了不要再看到台灣的父母親因小孩在軍中服役發生不幸事件而流下傷心的眼淚，希望執政的中央政府團隊及立法委員應拿出魄力及決心：修訂「政風機構人員設置管理條例」第10條第1項「軍事機關不適用本條例之規定」，讓政風機構人員進駐監督國軍各級部隊，徹底改造國軍制度，以確保軍中服役之官士兵人權及安全，避免軍中冤案及違法舞弊情事再次發生，並贏得全國人民的掌聲及信任。我的建言及做法如後：
一、緣起：
因軍中是一個封閉的社會，且以階級制來領導部屬，軍中主官(管)在領導部屬上有其獨斷專權一面，如果軍中沒有公正的政風機構人員進駐監督並做為民間司法機關的對口單位，如軍中長官違法犯紀，官士兵敢申訴檢舉嗎?不怕遭到長官利用職權挾怨報復嗎?未來軍中如發生凌虐部屬案、殺人案、性侵害、過失(意外)致死案或其他違法案件，犯案現場及證據由誰來通報民間司法機關進入軍中調查、維護及保存，難道要等軍方湮滅證據或串供後再行通知民間司法機關調查嗎?這樣能查出真相嗎？因此我建議承平時期軍中連、營、旅、軍團(海空軍單位比照)、各級軍事機關及學校、各軍種司令部、國防部等單位應由法務部訓練合格的心輔及法律人員進駐並取代軍中政戰人員任務，作為軍中官士兵人權的後盾(取代軍中政戰人員任務原因分析如後：因陸軍542旅下士洪仲丘虐死案、空軍士兵江國慶枉死案、海軍上校尹清楓命案及其他軍中冤案，連、營的輔導長、旅的政戰主任、旅部監察官、軍團政戰主任、各軍種司令部及國防部政戰人員有發揮功能及功效嗎?有幫助受害之官士兵嗎?答案是沒有，軍中會設立政戰制度，除監督軍事行動外，更重要的是要維護軍中官士兵的權益及安全，但從洪仲丘虐死案由媒體播出的畫面，僅看到269旅政戰主任帶著加害洪仲丘的人員在靈堂演一場哭戲給全國人民看，更本已喪失當初在軍中設置政戰制度的美意，既然平時政戰制度及人員對軍中無任何功效，也無法處置官士兵申訴檢舉案件，不如平時由法務部訓練合格的心輔及法律人員取代政戰任務及功能，且其無官階又不歸國防部及各級部隊管轄，軍中官士兵才敢申訴檢舉，而不怕被長官秋後算帳)。
二、隸屬、編制及職權：  （一）隸屬：  隸屬法務部，不受國防部及各級部隊管轄，其對口單位為各地區檢查署及警察機關。  （二）編制：  １、聯兵旅(守備隊、砲指部)：設置政風科，並派遣心輔及法律人員進駐所屬營、連單位。（海空軍單位比照）  ２、軍團（作戰區指揮部）：設置政風組，管轄所屬聯兵旅(守備隊、砲指部)政風科及各營、連單位之心輔及法律人員。（海空軍單位比照）  ３、各軍種司令部：設置政風處，除派遣心輔及法律人員進駐所屬兵監與參謀處、組外，並管轄所屬軍團（作戰區指揮部）政風組及各聯兵旅(守備隊、砲指部)政風科（含各營、連單位之心輔及法律人員），另各軍種司令部所屬兵科學校亦比照聯兵旅(守備隊、砲指部)方式設置政風科，並派遣心輔及法律人員進駐所屬學生營、連單位。（海空軍單位比照）  ４、國防部：設置政風局，除派遣心輔及法律人員進駐所屬司、局、處、室外，並管轄各軍種司令部之政風處及所屬軍團（作戰區指揮部）政風組與各聯兵旅(守備隊、砲指部)政風科（含各營、連單位之心輔及法律人員），另國防部部所屬機關、學校亦比照聯兵旅(守備隊、砲指部)方式設置政風科，並派遣心輔及法律人員進駐所屬學校營、連單位。 （三）職權:  １、受理軍中官士兵申訴檢舉案件及心輔工作。  ２、如於官士兵申訴檢舉案件中發現重大不法情事，可直接通報各地區警察機關及檢調單位至軍中對案情實施調查，並對申訴檢舉人身分、安全實施保密及維護，必要時可將申訴檢舉人安置民間司法機關，以確保其人身安全。  ３、如軍中發生凌虐部屬案、殺人案、性侵害案、過失(意外)致死案或其他不法情事可直接通報各地區警察機關及檢調單位至軍中對案情調查並對現場實施蒐證、維護及證據保留。
４、監督並查察軍中各級部隊及軍事院校平常及演訓時對官士兵及學生之訓練有無過當或違法之處（利用職權言語羞辱或其他體罰，造成官士兵及學生心生畏懼）。  ５、監督並查察軍中官士兵及軍事院校學生之記過、申誡、罰勤、禁足、悔過之懲處是否合理，有無不當之處(如單位主官、管因遭官士兵申訴或檢舉情事，進而公報私仇)。  ６、監督並查察軍中各級部隊及軍事院校主官(管)及所屬軍士官對士官兵及學生有無違法賣假情事或利用職權違法指使士官兵及學生替長官做私人情事(如幫單位長官洗私人轎車，幫長官搬家，到長官家中打掃或裝潢)。
７、監督並查察各級軍事院校連、隊長及各級部隊連、隊長(明定連、隊主官每月均有編列行政事務費購買連、隊所需用品)有無違法私自下令，叫所屬學生或士官兵每月薪水中繳交一至二百元不等的錢，做為連、隊基金，每月用來購買連、隊所需打掃用品或割草用具。
８、監督並查察軍中各級部隊主官(管)及作戰區指揮部(軍團)以上單位(各級軍事機關及學校、各軍種司令部、國防部)之各司、局、室(署)、處(組)參謀主管各項科子目經費(含行政事務費)支用有無違法私自下令，叫所屬經費負責人或行政士，假結報所屬經費(含行政事務費)挪為自用或他用。  ９、監督並查察軍中各級部隊、各級軍事機關及學校、各軍種司令部、國防部之民用型軍用車輛維修經費運用上有無假結報經費挪為自用或他用 。
10、監督並查察軍中各級單位或部隊各項軍用裝備料件有無違法盜賣及個人裝備有無違法攜出營外等情事發生。
11、監督並查察軍中各級部隊深夜有無人員違法不假離營至聲色場所尋歡買醉情事發生。
12、監督並查察軍中各級部隊及作戰區指揮部(軍團)與各級軍事機關及學校官士兵伙食費運用有無違法挪用情事(如單位主官之朋友或女友到訪或上級單位派員督導，私自違法下令動用官士兵伙食費，另外辦桌請客)或其他不當之處。  13、監督並查察軍中各級單位或部隊有無因軍車(含民用型軍用車輛)在外與民車發生車禍，單位主官有無為了個人職位升遷或績效，因而息事寧人(不依車禍處理規定，通知憲警到場處理)，進而私自下令，叫下屬單位(連、隊)自行私下和解(由下屬人員賠錢了事)，造成下屬單位人員家庭經濟負擔等不法情事。
14、監督並查察軍中各級部隊及作戰區指揮部(軍團、各外島指揮部駐台辦事處)與各級軍事機關及學校、各軍種司令部、國防部等單位主官(管)或參謀主管有無違法公器私用情事(如將民用型軍用車輛命令駕駛兵搭載其太太及小孩或朋友至某處辦理個人私事)。
15、監督並查察軍中各項考試是否公平、公正，有無違法考前洩漏考題(答案)情事(如各兵科學校正規班、國防大學各軍種指參學院、後勤戰略班、戰爭學院及碩、博士班等等考試)。 16、監督並查察軍中各級單位或部隊之工程招標(採購)，單位或部隊之主官(管)及承辦人員有無接受廠商邀宴、送禮、餽贈或收受賄絡(回扣)，進而洩漏底標(護航廠商)等違法情事。  17、監督並查察軍中各級單位或部隊之人員之單位調動及官位晉升是否公平、公正，有無走後門送禮、送錢等對價買官或調動至爽單位等違法情事。
18、監督並查察軍中各級單位或部隊及作戰區指揮部(軍團)以上單位(各級軍事機關及學校、各軍種司令部、國防部) 之官士兵有無不當之男女關係。
19、監督並查察軍中各級單位或部隊及作戰區指揮部(軍團)以上單位(各級軍事機關及學校、各軍種司令部、國防部)之官士兵有無洩漏國防軍事機密情事發生。 20、其他軍中一切違紀犯法情事。
二、附記：  (一)國防部政風局、各軍種司令部政風處、各軍團（作戰區指揮部）政風組、各聯兵旅(守備隊、砲指部)政風科及營、連單位（海、空軍各級部隊及單位比照）之心輔及法律所需人員由法務部辦理考試，招聘各大專院校畢業之男女青年擔任(男性青年需役畢)，各政風局、處、組、科主要之管理幹部由法務部派遣正職人員擔任，招聘人員薪水由承平時期廢除之政戰人員國防部所編列之人事及辦公經費移轉法務部辦理。  (二)此舉可有效改革軍中弊端，避免冤案及其他軍中舞弊違法與洩（違）密情事發生，並可創造就業機會，讓社會上有正義及熱血的青年報考法務部辦理之軍中心輔及法律人員考試，為全國人民盡一份監督軍中的心力，確保軍中服役官士兵人權及人身之安全。  (三)國防部雖於民國102年1月1日編成政風室（歸國防部管轄且與總督察長室採「雙軌併行、複式監督、協調互助、功能整合」方式），但因編制過小又受制歸國防部管轄（凡事聽令國防部行事）而非受法務部管轄，以致無法獨立行事（主動查察陸、海、空軍各級部隊及單位各項違法舞弊及洩（違）密等情事），以致功能成效不彰，且國防部所屬機關、學校及各軍種司令部與陸海空軍各級部隊均未設置政風單位進駐，造成國防部政風室孤掌難鳴，無法發揮功效查察陸、海、空軍各級單位及部隊違紀犯法情事，才會導致民國102年7月會發生陸軍542旅下士洪仲丘虐死案，之後國軍各級部隊又被新聞媒體報出許許多多違紀犯法及軍人洩漏(出賣)國防軍事機密給對岸中共與阿帕契軍中樂園等等影響軍譽及國家安全情事發生。建議執政的中央政府團隊及立法委員應拿出魄力及決心：修訂「政風機構人員設置管理條例」第10條第1項「軍事機關不適用本條例之規定」，讓政風機構人員進駐監督國軍各級部隊，徹底改造國軍制度，以確保軍中服役之官士兵人權及安全，避免軍中冤案及舞弊違法與洩（違）密情事再次發生。 
上述措施如能有效在軍中推行，其預期成效如後:  一、能落實軍紀營規，使官士兵從上到下紀律嚴明。  二、能避免洪仲丘案及其他軍中冤案再次發生。  三、能杜絕軍中一切舞弊及違法情事發生，並能查察軍中有無洩（違）密情事發生。。 
四、能使立法院三讀通過之「軍事審判法修正案」在軍中能有效發揮功效。
五、能使全台灣的父母親較能放心的讓自己小孩在軍中服役，而不用擔心他們的安危。",國防部,,
2015-09-13 10:49:13,https://join.gov.tw/idea/detail/24a0d9f9-15f0-4c51-9b13-432c86887cf0,0,"設立考試制度，為軍中及國家嚴選人才晉任將階民國102年七月二十九日國防部部長高華柱先生因洪仲丘案向總統馬英九先生請辭獲准，各大媒體爆出其任內升的將軍都是自己的子弟兵，形成「高家軍」一說，且過去將軍也有「買官」一說，不管事實真相如何，為了讓軍中人事管道升遷公平，不讓人民詬病，我的建言如後: 軍中將領晉階每年由國防部辦理二次(一月及七月各辦理一次)，尤其晉階少將、中將、上將對軍中及國家來說是何等重大之事，怎能輕忽或不公平呢？(孫子兵法第三節謀攻篇有言：夫將者，國之輔也，輔周則國必強，輔隙則國必弱)，由於現在二岸和平無戰事，無法以戰功評選將領，因此在承平時期為了選出真正的人才擔任國軍少將、中將、上將職位，我建議每年(四月及十月)由考試院以國家考試方式各辦理一次將領晉階考試(以考醫師或律師證照方式辦理)，凡通過考試者再由總統親自面試及口試，凡全部及格人員再配合國防部每年一月及七月辦理的將領晉階典禮，再請總統頒發「將軍適任證書」，並掛階晉升少將、中將或上將，並指派職務，此考試通過的人員決非是用買官或是靠人事背景晉升的，且通過考試的人代表他真的有實力晉升少將、中將或上將，其考試項目如後: 一、體檢:     於指定之公立醫院實施體檢，不在軍醫院實施體檢，避免有舞弊情事發生，凡體檢不合格者即不得參加將領晉階升等考試。 二、體能測驗:     依照國軍體能測驗標準對參加將領晉階升等考試人員實施體能測驗，凡體能測驗不合格者即不得參加將領晉階升等筆試考試。 (借體育學院場地，並由體育學院派師資實施測驗，以示公平)。 三、筆試:     由考試院以國家考試方式訂定考試科目，凡體檢及體能測驗合格人員參加將領晉階升等筆試考試。 四、面試及口試:     筆試合格人員由總統親自實施面試及口試。經過國軍將領晉階考試四項程序的嚴格篩選，必定能為軍中及國家找到將才的人選，如此晉升少將、中將或上將的人員，他們經過嚴格的考試勝出來證明自己的實力，如此全國人民才不會質疑國軍的將領是如何晉升的？這些晉升的將領其能力在那裡？也唯有經過國軍將領晉階考試四項程序嚴格篩選勝出的國軍的將領才能獲得全國人民的敬重。
 ",國防部,,
2015-09-14 16:45:58,https://join.gov.tw/idea/detail/37e2cace-24ae-45a5-978d-79b01c54f4ae,22,"公共場合不提供擦手巾當我們在外如廁後，走向水龍頭洗去手中的髒污，接著順手的向旁邊的架子上抽取一張擦手紙，在這講求速度與方便的時代裡，是多麼的方便阿！
但是一包擦手紙的製造需要多少砍多少的樹？塑膠的包裝紙需要消耗多少的能源去製造？我們雖然不知道，但在無時不談論環保與節能的時代裡，使用擦手紙這件事是多麼的矛盾阿。
回首當年老師都要檢查手帕的時代裡，每個人都會備有一條手帕，其中的意義是甚麼，不外乎是希望大家保持乾爽的外在，所以此提議是希望可以在喊著節能減碳的時候，改變使用擦手紙的習慣，並將公共場所的擦手紙設備全部撤除，或是裝設乾手機。
 ",環境部,,
2015-09-15 07:54:14,https://join.gov.tw/idea/detail/79feefd4-ce42-4b2b-a1a8-a34dbfacb8a8,514,"移撥空軍S-2T反潛機予內政部空勤總隊，強化災害防救能力 
國防部空軍司令部第439混合聯隊反潛作戰大隊現有10架S-2T「渦輪追蹤者式」反潛巡邏機，在購入後繼機種P-3C「獵戶座式」反潛巡邏機後，S-2T型機將於105年全數汰除。國外軍方的同型機除役後，計有加拿大、美國及法國將其改裝為空中滅火機，作為森林火災發生時進行先制打擊、快速滅火的災害防救重要資產。現今同型機仍有美國加州森林局(CAL FRIE)保有23架，法國內政部民防安全防衛署(Sécurité Civile)保有9架。
 
依據103年5月30日空軍航空技術學院「2014空科技與飛航安全學術研討會」，會中「我國空中救難能量之探討」提出之建議：
一﹑我國應建置定翼機搜索能量，除海上搜索任務外，也能支援海巡署例行空巡任務。
二﹑空勤總隊「海上救難」任務數量為所有任務之冠，且空載搜索裝備多年來「幾乎沒有投資」，「搜」的效果不好，也影響「救」的效率。
 
另依據103年8月4日農委會林務局農林航空測量所之「災害防救應用科技方案 103年度方案訪談暨平臺溝通交流會議」中指出：
一﹑空勤總隊之畢琪King Air B350型機，編號B-13153，已配合農委會計畫加裝機載合成孔徑雷達系統，鑑於雷達精密且龐大，拆裝不易，因此B350型B-13153號機機無法執行其他航攝任務。
二﹑空勤總隊另一架編號B-13152的B200型機已經老舊，建議購置新飛機。
 
由此可見，內政部空中勤務總隊作為國家航空器統一集中運用的單位，成立迄今定翼機隊僅有畢琪King Air B200型及B350型航測機各一架，空中滅火機與海洋巡邏機(SAR)付之闕如，可執行空中滅火或海上搜救的定翼機數量為「零」，不僅嚴重落後日本、韓國、香港政府飛行服務隊，甚至飛機數量僅有菲律賓海巡署的一半，足見政府對海洋國家之主權維護、海難搜索及救援和災害防救上對空勤總隊的投資長期不足。
 
本提議內容為：
 

保留空軍除役S-2T機隊，連同備份零件和相關技術文件等資料移轉空勤總隊。
由行政院召集國防部空軍司令部、內政部空勤總隊及海巡署共同研擬S-2T型機性能提昇及加改裝案之需求規格。
以科學方法評估需求及改裝架數，剩餘機體封存作為備份拆零用。
部分現役S-2T飛官未換訓P-3C將退伍，連同近十年退伍之飛官，若搭配研修海空軍退伍轉至空勤總隊的待遇與退休金問題，即可提供充足誘因，獲得足夠的成熟現成飛行員，飛行員獲得與再訓練的成本低。
請空軍提供過去將S-2T型機改裝為空中滅火機之研究資料作為參考。
S-2T型機進行大修，升級數位化玻璃座艙、加裝GPS、空調，籌購相關任務設備，提高安全性，並提供組員基本的「人道」作業環境。
配合本案增加空勤總隊編制員額，提供充足人力運作。
若有因機況不佳決定汰除之機體，保留一架待桃園航空科學博物館重建後提供作為館藏，以供科普教育、史料保存及全民國防用途。
自本案開始，國防部、空勤總隊、交通部民航局之航空器欲汰除前，應建立制度進行剩餘效益再運用整體評估，並與具有需求之單位橫向聯繫，作為是否移撥其他政府單位再運用之參考依據，以達物盡其用節約鉅額公帑。
本提案先前去信總統府信箱，信件編號20150005857號由總統府移請行政院長信箱處理，行政院函轉內政部信件編號010-104006835，惟空勤總隊並未經科學評估即以「飛機老舊不符空軍作戰需求」為由否決，足見政府體制對人民建議之僵固性。另本案之預算需求空勤總隊恐無法自行決定，需由中央政府專案支持方得推行

現承包空軍「S-2T軍機商維」的亞洲航空股份有限公司與漢翔航空工業公司均有能力執行「S-2T性能提昇加改裝案」，本案可促進國內航太產業發展，提供就業機會，空勤總隊接裝後亦可比照空軍委商維護，本案可提供國內航太產業長期維護商機。
將S-2T改裝為空中滅火機，可大幅提昇森林火災之災害防救能力，與UH-60M「黑鷹」直昇機相較，具有速度快可第一時間抵達現場抑制火勢擴散的特性。
因應全球暖化，極端氣候常態化，旱澇加劇，提昇森林滅火能力以應付不時之需。
將S-2T改裝海洋巡邏機(Search and Rescue, SAR)，可在發生主權糾紛時第一時間飛抵現場執法，進行蒐證紀錄。亦可於海難發生時在第一時間抵達現場投擲救生器材，可大幅提昇遇難者生還機會。加裝前視紅外線儀(FLIR)，將大幅提昇惡劣天候與夜間任務搜救效率。且S-2T原為美國海軍航空母艦艦載機，原始設計即針對海洋環境操作強化抗腐蝕能力。
強化空勤總隊之定翼機隊的能量，將可減輕空軍沈重負擔，讓空軍回歸戰訓本務。
飛機係以「飛行時數」衡量壽命，而非「出廠年份」，該型機「反潛作戰裝備」退化，無法繼續勝任戰備任務，但飛機本身「安全性佳」(參考UDN TV報導)，盱衡國家財政困難無力採購新機，保留S-2T型機並發揮剩餘價值，不僅有效強化國家力量，亦能大幅昇政府形象。
提高我國災害防救能力，亦可提昇我國在國際的能見度與正面映象，促進中華民國身為「和平締造者」之形象。
",內政部,國防部,
